date,region,products,sales
2025-05-24,East,AirPods,310
2025-04-18,Central,AirPods,484
2025-03-18,East,iPhone,613
2025-07-01,North,AirPods,396
2025-01-23,Central,iPad,952
2025-05-03,South,AirPods,387
2025-06-13,North,iWatch,918
2025-07-15,Central,Macbook,888
2025-02-12,Central,iPhone,215
2025-03-27,East,iWatch,509
2025-03-05,Central,Macbook,305
2025-03-30,North,Macbook,106
2025-03-04,East,iPad,646
2025-01-09,North,iPhone,166
2025-05-12,North,iWatch,687
2025-06-28,East,iPad,620
2025-03-18,North,iPad,783
2025-02-16,West,AirPods,533
2025-05-21,West,iPhone,477
2025-04-01,Central,Macbook,830
2025-01-18,East,iPad,787
2025-03-30,South,iPhone,962
2025-01-27,East,iPad,823
2025-01-20,North,iPad,155
2025-06-02,East,iWatch,389
2025-04-10,South,Macbook,874
2025-05-11,Central,iPad,691
2025-02-21,West,AirPods,368
2025-06-06,Central,AirPods,366
2025-04-10,West,iPhone,667
2025-03-31,South,Macbook,249
2025-07-15,Central,Macbook,291
2025-02-28,Central,iPad,410
2025-06-09,South,Macbook,415
2025-05-07,Central,iPad,790
2025-01-08,Central,iPad,669
2025-02-23,Central,iWatch,666
2025-05-23,East,AirPods,479
2025-07-02,Central,Macbook,880
2025-05-10,East,iPhone,659
2025-05-29,East,iWatch,945
2025-01-18,South,iPhone,378
2025-02-05,Central,iWatch,653
2025-05-20,East,AirPods,449
2025-01-16,South,Macbook,627
2025-06-14,South,AirPods,516
2025-02-20,Central,AirPods,116
2025-07-16,Central,iPhone,946
2025-01-29,East,iPhone,211
2025-04-20,East,iWatch,997
2025-06-02,Central,iWatch,948
2025-04-27,East,iWatch,539
2025-02-24,North,iWatch,339
2025-02-13,South,Macbook,602
2025-05-30,West,iPhone,218
2025-03-30,South,iPhone,860
2025-06-29,West,iPad,533
2025-07-18,West,iWatch,901
2025-04-26,North,iPad,277
2025-04-09,South,iWatch,109
2025-02-17,East,iPhone,499
2025-03-02,North,Macbook,600
2025-06-09,West,AirPods,937
2025-01-16,South,iPhone,452
2025-05-09,North,iPhone,825
2025-07-03,North,iPad,155
2025-06-09,West,iPhone,269
2025-03-03,Central,Macbook,406
2025-07-04,West,AirPods,405
2025-05-23,Central,iWatch,929
2025-03-07,West,Macbook,645
2025-05-16,East,iWatch,533
2025-03-22,South,iPhone,964
2025-06-17,East,AirPods,790
2025-04-30,North,Macbook,136
2025-02-26,North,iPad,753
2025-02-22,West,Macbook,610
2025-06-28,North,AirPods,322
2025-06-03,North,Macbook,210
2025-06-20,East,iPad,451
2025-04-11,North,iWatch,805
2025-05-30,Central,iPhone,220
2025-07-12,North,Macbook,834
2025-07-03,East,iWatch,707
2025-06-23,Central,iPad,325
2025-03-02,North,AirPods,139
2025-04-17,West,iPhone,600
2025-07-19,South,Macbook,708
2025-07-16,South,iPad,169
2025-04-22,North,iPhone,601
2025-03-29,West,iPad,281
2025-07-08,Central,iPad,126
2025-01-26,South,iPad,549
2025-02-06,South,Macbook,981
2025-06-12,Central,iPhone,725
2025-04-16,East,iPad,662
2025-03-29,South,AirPods,235
2025-06-27,North,iPad,389
2025-03-19,South,AirPods,155
2025-06-09,North,iPhone,685
2025-02-19,South,Macbook,871
2025-05-10,West,AirPods,576
2025-01-08,Central,iWatch,318
2025-02-27,South,Macbook,283
2025-04-18,South,iPad,113
2025-02-03,West,iPhone,885
2025-06-08,South,iPhone,683
2025-06-16,South,Macbook,675
2025-02-13,North,Macbook,817
2025-02-21,Central,iPad,350
2025-02-23,Central,Macbook,885
2025-07-09,South,Macbook,923
2025-05-25,North,iPad,461
2025-01-12,East,iPhone,200
2025-07-16,West,Macbook,584
2025-06-17,North,iPhone,139
2025-04-30,Central,Macbook,492
2025-07-09,North,AirPods,840
2025-03-21,South,Macbook,499
2025-05-21,South,Macbook,717
2025-07-03,North,iPad,149
2025-03-15,West,iWatch,213
2025-02-11,South,Macbook,403
2025-03-26,Central,iWatch,831
2025-01-30,Central,AirPods,167
2025-06-04,West,AirPods,387
2025-02-09,West,iWatch,493
2025-01-22,North,iWatch,593
2025-02-20,South,iWatch,426
2025-07-19,East,iPhone,291
2025-02-03,South,iPhone,805
2025-02-23,Central,AirPods,836
2025-06-07,West,AirPods,233
2025-05-18,South,Macbook,508
2025-06-13,South,iWatch,839
2025-02-01,West,iWatch,326
2025-03-06,South,Macbook,771
2025-04-30,North,iPad,110
2025-01-10,Central,iPhone,177
2025-02-09,South,Macbook,473
2025-03-27,South,Macbook,526
2025-05-24,East,iWatch,524
2025-01-19,Central,iPad,380
2025-04-17,East,iPhone,644
2025-01-01,East,iPhone,484
2025-03-30,South,iPhone,350
